concept_index,entity_id,raw_concept_id,name,definition_source,route
72,kc72,72,爬楼梯问题,llm:deepseek-chat,拓展思维----应用题模块----间隔问题----直线型两端都有----爬楼梯问题
73,kc73,73,树形图,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----树形图
74,kc74,74,图文周期,llm:deepseek-chat,拓展思维----组合模块----图形规律----图文周期
75,kc75,75,环形操作周期问题,llm:deepseek-chat,拓展思维----应用题模块----周期问题----环形操作周期问题
76,kc76,76,圆周中的周期,llm:deepseek-chat,拓展思维----组合模块----图形规律----圆周中的周期
77,kc77,77,数列找规律填数,llm:deepseek-chat,拓展思维----计算模块----数列与数表----数列规律----数列找规律填数
78,kc78,78,奇数与偶数的乘法规律,llm:deepseek-chat,拓展思维----数论模块----奇数与偶数----奇数与偶数的乘法规律
79,kc79,79,整数好朋友数,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数乘除法巧算----整数好朋友数
80,kc80,80,整数乘法巧算之分配律,llm:deepseek-chat,拓展思维----计算模块----整数----整数分配律----整数乘法巧算之分配律
81,kc81,81,整数乘法巧算之提取公因数（普通型）,route_repair:missing_definition,知识点----计算模块----整数----整数提取公因数----整数乘法巧算之提取公因数（普通型）
82,kc82,82,整数除法巧算之类分配律,llm:deepseek-chat,拓展思维----计算模块----整数----整数分配律----整数除法巧算之类分配律
83,kc83,83,商不变性质,llm:deepseek-chat,课内知识点----数与运算----除法----整数除法----商不变性质
84,kc84,84,乘除法抵消,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数乘除法巧算----乘除法抵消
85,kc85,85,整数乘除法巧算,llm:deepseek-chat,拓展思维----计算模块----整数----整数乘除----整数乘除法巧算
86,kc86,86,公式法求长方形正方形面积,llm:deepseek-chat,课内题型----空间与图形----几何图形----四边形----公式法求长方形正方形面积
87,kc87,87,两量和倍,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和倍问题----二量和倍问题----两量和倍
88,kc88,88,两量倍,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----倍的基本计算----两量倍
89,kc89,89,多量和倍,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和倍问题----多量和倍问题----多量和倍
90,kc90,90,已知两量之间倍数关系和两量之和，求两个量,llm:deepseek-chat,课内题型----综合与实践----应用题----倍数问题----已知两量之间倍数关系和两量之和，求两个量
91,kc91,91,除法的实际应用,route_repair:missing_definition,课内知识点----数与运算----数的运算的实际应用（应用题）----整数的简单实际问题----除法的实际应用
92,kc92,92,已知两量之间倍数关系和一份量，求多份量,llm:deepseek-chat,课内题型----综合与实践----应用题----倍数问题----已知两量之间倍数关系和一份量，求多份量
93,kc93,93,变化的比多少应用题,llm:deepseek-chat,拓展思维----应用题模块----加减法应用----变化的比多少应用题
94,kc94,94,已知两量之间倍数关系和两量之差，求两个量,llm:deepseek-chat,课内题型----综合与实践----应用题----倍数问题----已知两量之间倍数关系和两量之差，求两个量
95,kc95,95,整数差倍,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----差倍----两量差倍----整数差倍
96,kc96,96,减法的实际应用,llm:deepseek-chat,课内知识点----数与运算----数的运算的实际应用（应用题）----整数的简单实际问题----减法的实际应用
97,kc97,97,暗差型二量差倍问题,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----差倍----两量差倍----暗差型二量差倍问题
98,kc98,98,区分大月和小月,llm:deepseek-chat,知识点----常见的量----年、月、日----认识年、月、日----区分大月和小月
99,kc99,99,计算星期几,llm:deepseek-chat,知识点----常见的量----年、月、日----日历表----计算星期几
100,kc100,100,奇数阶幻方填法,llm:deepseek-chat,拓展思维----组合模块----幻方----和幻方----奇数阶幻方填法
101,kc101,101,长方形数表中日期周期,llm:deepseek-chat,课内题型----综合与实践----智巧趣题----数表----长方形数表中日期周期
102,kc102,102,变形幻方,llm:deepseek-chat,拓展思维----组合模块----幻方----变形幻方
103,kc103,103,简单统计表,llm:deepseek-chat,知识点----计数模块----统计与概率----统计图表----简单统计表
104,kc104,104,从统计图表中获取信息,llm:deepseek-chat,知识点----数据的分析----统计结果分析----从统计图表中获取信息
105,kc105,105,一笔画判断,llm:deepseek-chat,拓展思维----组合模块----图论问题----一笔画----一笔画判断
106,kc106,106,一笔画的应用,llm:deepseek-chat,拓展思维----组合模块----图论问题----一笔画----一笔画的应用
107,kc107,107,不等变相等（无图）,llm:deepseek-chat,拓展思维----应用题模块----平均数问题----移多补少----不等变相等（无图）
108,kc108,108,角的认知,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----图形认知角----角的认知
109,kc109,109,认识直角、锐角和钝角,llm:deepseek-chat,知识点----图形的认识----角----角的基础知识----认识直角、锐角和钝角
110,kc110,110,多位小数的写法,llm:deepseek-chat,知识点----数的认识----认、读、写数----小数----小数的意义----小数的读写----多位小数的写法
111,kc111,111,多位小数比较大小,llm:deepseek-chat,课内知识点----数的认识----比较大小----小数比较大小----多位小数比较大小
112,kc112,112,小数加减竖式计算,llm:deepseek-chat,拓展思维----计算模块----小数----小数加减----小数加减竖式计算
113,kc113,113,小数比大小,llm:deepseek-chat,拓展思维----计算模块----小数----小数基础----小数比大小
114,kc114,114,小数的计数单位（十分位、百分位、千分位）,llm:deepseek-chat,课内知识点----数的认识----认、读、写数----小数----小数的意义----小数的计数单位（十分位、百分位、千分位）
115,kc115,115,角度的计算,llm:deepseek-chat,拓展思维----几何模块----直线型----图形认知----图形认知角----角度的计算
116,kc116,116,正方形,llm:deepseek-chat,拓展思维----计数模块----几何计数----分类枚举法数图形----常规图形枚举计数----正方形
117,kc117,117,线段计数,llm:deepseek-chat,拓展思维----计数模块----几何计数----对应法数图形----乘法计数----线段计数
118,kc118,118,年龄问题基本关系和差问题,llm:deepseek-chat,拓展思维----应用题模块----年龄问题----年龄问题基本关系----年龄问题基本关系和差问题
119,kc119,119,分类枚举法数图形,llm:deepseek-chat,知识点----计数模块----几何计数----分类枚举法数图形
120,kc120,120,四则混合运算,llm:deepseek-chat,拓展思维----计算模块----整数----四则混合运算
121,kc121,121,添去括号,llm:deepseek-chat,拓展思维----计算模块----整数----整数加减----整数加减巧算之凑整法----添去括号
122,kc122,122,必填符号型,llm:deepseek-chat,拓展思维----组合模块----数字谜----巧填算符----等式填符号----必填符号型
123,kc123,123,24点游戏,llm:deepseek-chat,拓展思维----组合模块----数字谜----巧填算符----24点游戏
124,kc124,124,盈亏基本类型盈亏问题,llm:deepseek-chat,拓展思维----应用题模块----盈亏问题----盈亏基本类型----盈亏基本类型盈亏问题
125,kc125,125,特殊点或区域,llm:deepseek-chat,拓展思维----计数模块----标数法----特殊点或区域
126,kc126,126,盈亏问题,llm:deepseek-chat,拓展思维----应用题模块----盈亏问题
127,kc127,127,恰好分完,llm:deepseek-chat,拓展思维----应用题模块----盈亏问题----盈亏基本类型----恰好分完
128,kc128,128,亏亏问题,llm:deepseek-chat,拓展思维----应用题模块----盈亏问题----盈亏基本类型----亏亏问题
129,kc129,129,加法拆数（指定个数）,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----整数分拆----简单拆分----加法拆数（指定个数）
130,kc130,130,加法拆数（应用）,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----整数分拆----整数拆分应用----加法拆数（应用）
131,kc131,131,给定个数分东西,llm:deepseek-chat,课内题型----综合与实践----智巧趣题----枚举法----给定个数分东西
132,kc132,132,拆数数字可重复,llm:deepseek-chat,课内题型----综合与实践----智巧趣题----枚举法----拆数数字可重复
133,kc133,133,排列数,llm:deepseek-chat,知识点----数学广角----排列组合----排列数
134,kc134,134,无限制,llm:deepseek-chat,拓展思维----计数模块----排列组合----组合----插板法----无限制
135,kc135,135,加减法凑整综合,llm:deepseek-chat,拓展思维----计算模块----整数----整数加减----整数加减巧算之凑整法----加减法凑整综合
136,kc136,136,明和明差,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和差问题----二量和差问题----明和明差
137,kc137,137,巧求周长,llm:deepseek-chat,拓展思维----几何模块----直线型----几何思想与方法----巧求周长
138,kc138,138,排队问题,llm:deepseek-chat,拓展思维----计数模块----加乘原理----排队问题
139,kc139,139,加法原理里的其他类型,llm:deepseek-chat,拓展思维----计数模块----加乘原理----加法原理----加法原理里的其他类型
140,kc140,140,简单的列方程解应用题,llm:deepseek-chat,课内知识点----式与方程----简易方程（一元一次）----简单的列方程解应用题
141,kc141,141,平行四边形面积公式,llm:deepseek-chat,课内知识点----测量----面积----平行四边形面积----平行四边形面积公式
142,kc142,142,认识平行四边形的底、高,llm:deepseek-chat,课内知识点----测量----面积----平行四边形面积----认识平行四边形的底、高
143,kc143,143,公式法求平行四边形面积,llm:deepseek-chat,课内题型----空间与图形----几何图形----四边形----公式法求平行四边形面积
144,kc144,144,上升数（下降数）,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----字典排序法----组数----上升数（下降数）
145,kc145,145,加法拆数（不完全相同数）,llm:deepseek-chat,拓展思维----计数模块----枚举法综合----整数分拆----简单拆分----加法拆数（不完全相同数）
146,kc146,146,火柴棒摆算式,llm:deepseek-chat,拓展思维----组合模块----智巧趣题----数学趣题----火柴棒问题----火柴棒摆算式
147,kc147,147,减法竖式谜,llm:deepseek-chat,拓展思维----组合模块----数字谜----竖式数字谜----减法竖式谜
148,kc148,148,加法竖式谜,llm:deepseek-chat,拓展思维----组合模块----数字谜----竖式数字谜----加法竖式谜
149,kc149,149,图文加法竖式数字谜,llm:deepseek-chat,拓展思维----组合模块----数字谜----竖式数字谜----图文加法竖式数字谜
150,kc150,150,乘法交换律,route_repair:missing_definition,课内知识点----数与运算----运算律----乘法运算律----乘法交换律
151,kc151,151,乘法结合律,llm:deepseek-chat,课内知识点----数与运算----运算律----乘法运算律----乘法结合律
152,kc152,152,整数乘法运算,route_repair:missing_definition,拓展思维----计算模块----整数----整数乘除----整数乘法运算
153,kc153,153,整数四则混合运算,llm:deepseek-chat,课内知识点----数与运算----混合运算----整数四则混合运算
154,kc154,154,拆数法构造分配律,llm:deepseek-chat,拓展思维----计算模块----整数----整数分配律----整数乘法巧算之分配律----拆数法构造分配律
155,kc155,155,不等变不等（给完还多）,llm:deepseek-chat,拓展思维----应用题模块----平均数问题----移多补少----不等变不等（给完还多）
156,kc156,156,非整数倍差倍剩余,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----差倍----两量差倍----非整数倍差倍剩余
157,kc157,157,长方形,llm:deepseek-chat,拓展思维----计数模块----几何计数----分类枚举法数图形----常规图形枚举计数----长方形
158,kc158,158,长方形计数,llm:deepseek-chat,拓展思维----计数模块----几何计数----对应法数图形----乘法计数----长方形计数
159,kc159,159,物品搭配（有特殊要求）,llm:deepseek-chat,知识点----计数模块----加乘原理----乘法原理----物品搭配（有特殊要求）
160,kc160,160,乘法原理,llm:deepseek-chat,拓展思维----计数模块----加乘原理----乘法原理
161,kc161,161,排列的基本应用,llm:deepseek-chat,拓展思维----计数模块----排列组合----排列----排列的基本应用
162,kc162,162,排列综合,llm:deepseek-chat,拓展思维----计数模块----排列组合----排列----排列综合
163,kc163,163,几何思想平移,llm:deepseek-chat,拓展思维----几何模块----直线型----几何思想与方法---- 几何思想平移
164,kc164,164,规则剪拼规则图形（无格）,llm:deepseek-chat,拓展思维----几何模块----直线型----几何思想与方法----分割与剪拼----规则剪拼规则图形（无格）
165,kc165,165,分割图形（不需等分）,llm:deepseek-chat,知识点----几何模块----直线型----几何思想与方法----分割与剪拼----分割图形（不需等分）
166,kc166,166,特殊乘积,llm:deepseek-chat,知识点----计算模块----整数----整数乘除----整数乘除法巧算----特殊乘积
167,kc167,167,整数乘除混合运算,route_repair:missing_definition,拓展思维----计算模块----整数----整数乘除----整数乘除混合运算
168,kc168,168,整数除法巧算之提取公除数（普通型）,llm:deepseek-chat,拓展思维----计算模块----整数----整数提取公因数----整数除法巧算之提取公除数（普通型）
169,kc169,169,普通型,llm:deepseek-chat,知识点----计算模块----定义新运算----直接运算型----普通型
170,kc170,170,找规律型定义新运算,llm:deepseek-chat,知识点----计算模块----定义新运算----观察规律型----找规律型定义新运算
171,kc171,171,高斯记号的基本运算,llm:deepseek-chat,知识点----数论模块----高斯记号----高斯记号的基本运算
172,kc172,172,中项定理应用,llm:deepseek-chat,知识点----计算模块----数列与数表----等差数列----中项定理应用
173,kc173,173,等差数列求和,llm:deepseek-chat,拓展思维----计算模块----数列与数表----等差数列----等差数列求和
174,kc174,174,等差数列求项数,llm:deepseek-chat,知识点----计算模块----数列与数表----等差数列----等差数列求项数
175,kc175,175,等差数列求通项,llm:deepseek-chat,拓展思维----计算模块----数列与数表----等差数列----等差数列求通项
176,kc176,176,等差数列求公差,llm:deepseek-chat,知识点----计算模块----数列与数表----等差数列----等差数列求公差
177,kc177,177,等差数列实际应用,llm:deepseek-chat,知识点----应用题模块----等差数列实际应用
178,kc178,178,其他染色,llm:deepseek-chat,拓展思维----组合模块----棋盘中的染色----其他染色
179,kc179,179,逻辑绘图,llm:deepseek-chat,拓展思维----组合模块----数学游戏----逻辑绘图
180,kc180,180,实心方阵基本问题,llm:deepseek-chat,知识点----应用题模块----方阵问题----实心方阵----实心方阵基本问题
181,kc181,181,方阵问题,llm:deepseek-chat,知识点----应用题模块----方阵问题
182,kc182,182,实心方阵的增减,route_repair:missing_definition,拓展思维----应用题模块----方阵问题----实心方阵----实心方阵的增减
183,kc183,183,空心方阵基本问题,llm:deepseek-chat,知识点----应用题模块----方阵问题----空心方阵----空心方阵基本问题
184,kc184,184,空心方阵的增减,llm:deepseek-chat,拓展思维----应用题模块----方阵问题----空心方阵----空心方阵的增减
185,kc185,185,单循环赛,llm:deepseek-chat,拓展思维----组合模块----逻辑推理----体育比赛----单循环赛
186,kc186,186,淘汰赛,llm:deepseek-chat,拓展思维----组合模块----逻辑推理----体育比赛----淘汰赛
187,kc187,187,2-1-0 积分制,llm:deepseek-chat,知识点----组合模块----逻辑推理----体育比赛----2-1-0 积分制
188,kc188,188,多量和差问题,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和差问题----多量和差问题
189,kc189,189,实践应用,llm:deepseek-chat,七大能力----实践应用
190,kc190,190,除法中四量关系,llm:deepseek-chat,拓展思维----数论模块----余数问题----余数问题带余除法----除法中四量关系
191,kc191,191,和倍问题,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和倍问题
192,kc192,192,知少求多,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和倍问题----知少求多
193,kc193,193,还原问题,llm:deepseek-chat,知识点----应用题模块----还原问题
194,kc194,194,数的周期,llm:deepseek-chat,拓展思维----应用题模块----周期问题----数列操作周期问题----数的周期
195,kc195,195,时间中的周期问题,llm:deepseek-chat,拓展思维----应用题模块----周期问题----时间中的周期问题
196,kc196,196,奇数与偶数的认识,llm:deepseek-chat,拓展思维----数论模块----奇数与偶数----奇数与偶数的认识
197,kc197,197,归总问题,llm:deepseek-chat,拓展思维----应用题模块----归一归总问题----归总问题
198,kc198,198,腿倍型,llm:deepseek-chat,拓展思维----应用题模块----鸡兔同笼问题----分组法解鸡兔同笼----腿倍型
199,kc199,199,用分组法解决基础鸡兔同笼,llm:deepseek-chat,课内题型----综合与实践----应用题----鸡兔同笼问题----用分组法解决基础鸡兔同笼
200,kc200,200,不同时出发相向而行,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----两人相遇与追及问题----相遇问题----不同时出发相向而行
201,kc201,201,公式法,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----路程速度时间----平均速度----公式法
202,kc202,202,公式法求相遇时间,llm:deepseek-chat,课内题型----综合与实践----应用题----行程应用题----公式法求相遇时间
203,kc203,203,单人变速问题,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----路程速度时间----单人变速问题
204,kc204,204,两人相遇与追及问题,llm:deepseek-chat,知识点----行程模块----直线型行程问题----两人相遇与追及问题
205,kc205,205,和系整除特征应用,route_repair:missing_definition,拓展思维----数论模块----整除----整除特征----和系整除特征应用
206,kc206,206,和系整除特征,llm:deepseek-chat,拓展思维----数论模块----整除----整除特征----和系整除特征
207,kc207,207,除法竖式谜,llm:deepseek-chat,拓展思维----组合模块----数字谜----竖式数字谜----除法竖式谜
208,kc208,208,多位数的乘法运算,llm:deepseek-chat,拓展思维----计算模块----整数----多位数计算----多位数的乘法运算
209,kc209,209,整数拆补凑整,llm:deepseek-chat,拓展思维----计算模块----整数----整数加减----整数加减巧算之凑整法----整数拆补凑整
210,kc210,210,连续自然数长方形数表之已知数求位置,llm:deepseek-chat,拓展思维----计算模块----数列与数表----数表规律----长方形数表----连续自然数长方形数表之已知数求位置
211,kc211,211,简单时间统筹问题,llm:deepseek-chat,拓展思维----组合模块----操作与策略----统筹规划----简单时间统筹问题
212,kc212,212,各点不等价,llm:deepseek-chat,拓展思维----组合模块----操作与策略----统筹规划----地点上的统筹----各点不等价
213,kc213,213,火车过人,llm:deepseek-chat,拓展思维----行程模块----火车问题----火车与人----火车过人
214,kc214,214,多人相遇追及问题,llm:deepseek-chat,拓展思维----行程模块----直线型行程问题----多人相遇与追及问题----多人相遇追及问题
215,kc215,215,整数系数方程,llm:deepseek-chat,拓展思维----计算模块----方程基础----一元一次方程----整数系数方程
216,kc216,216,物品代换,llm:deepseek-chat,拓展思维----计算模块----方程基础----等量代换----物品代换
217,kc217,217,已知两量之间几倍多（少）几和多份量，求一份量,llm:deepseek-chat,课内题型----综合与实践----应用题----倍数问题----已知两量之间几倍多（少）几和多份量，求一份量
218,kc218,218,已知两量之间几倍多（少）几与一份量，求多份量,llm:deepseek-chat,课内题型----综合与实践----应用题----倍数问题----已知两量之间几倍多（少）几与一份量，求多份量
219,kc219,219,非整数倍差倍不足,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----差倍----两量差倍----非整数倍差倍不足
220,kc220,220,一元一次方程解应用题,llm:deepseek-chat,拓展思维----应用题模块----列方程解应用题----一元一次方程解应用题
221,kc221,221,年龄问题之差倍型,llm:deepseek-chat,拓展思维----应用题模块----年龄问题----年龄问题之差倍型
222,kc222,222,年龄问题之和倍型,llm:deepseek-chat,拓展思维----应用题模块----年龄问题----年龄问题之和倍型
223,kc223,223,方程基础,llm:deepseek-chat,拓展思维----计算模块----方程基础
224,kc224,224,阶梯型标数法,llm:deepseek-chat,拓展思维----计数模块----标数法----阶梯型标数法
225,kc225,225,两端植树类型问题(段数大于10),llm:deepseek-chat,拓展思维----应用题模块----间隔问题----直线型两端都有----两端植树问题----两端植树类型问题(段数大于10)
226,kc226,226,排列组合,llm:deepseek-chat,课内知识点----数学广角----排列组合
227,kc227,227,传球型递推,llm:deepseek-chat,拓展思维----组合模块----操作与策略----归纳递推----传球型递推
228,kc228,228,周期问题,route_repair:missing_definition,知识点----应用题模块----周期问题
229,kc229,229,除法应用,route_repair:missing_definition,拓展思维----应用题模块----归一归总问题----乘除法应用----除法应用
230,kc230,230,已知各个数，求平均数,llm:deepseek-chat,课内题型----综合与实践----应用题----平均数问题----已知各个数，求平均数
231,kc231,231,综合题普通型,llm:deepseek-chat,拓展思维----应用题模块----平均数问题----综合题----综合题普通型
232,kc232,232,通分母,llm:deepseek-chat,拓展思维----计算模块----比较与估算----比较大小综合----分数通分法----通分母
233,kc233,233,二量和倍问题,llm:deepseek-chat,拓展思维----应用题模块----和差倍问题----和倍问题----二量和倍问题
